"","Player","Span","Mat","Runs","HS","Bat Av","100","Wkts","BBI","Bowl Av","5","Ct","St","Ave Diff",""
"154","WB Rankin (ENG/IRE)","2009-2017","26","31","16*","15.50","0","28","3/16","19.17","0","9","0","-3.67",""
"155","Shaiman Anwar (UAE)","2014-2017","26","747","117*","31.12","1","-","-","-","-","6","0","-",""
"156","V Sibanda (ZIM)","2007-2016","26","511","59","20.44","0","-","-","-","-","12","0","-",""
"157","Sikandar Raza (ZIM)","2013-2016","26","341","59","13.64","0","9","2/7","31.33","0","16","0","-17.69",""
"158","MC Sorensen (IRE)","2012-2016","26","92","26","18.40","0","26","3/17","18.11","0","9","0","0.28",""
"159","Soumya Sarkar (BDESH)","2015-2017","26","534","48","20.53","0","0","-","-","0","16","0","-",""
"160","MR Swart (NL)","2012-2016","26","621","89","27.00","0","14","2/8","25.07","0","7","0","1.92",""
"161","BRM Taylor (ZIM)","2006-2014","26","594","75*","28.28","0","1","1/16","17.00","0","10","1","11.28",""
"162","HDRL Thirimanne (SL)","2012-2016","26","291","44","16.16","0","-","-","-","-","8","0","-",""
"163","MS Wade (AUS)","2011-2016","26","239","72","19.91","0","-","-","-","-","13","2","-",""
"164","Al-Amin Hossain (BDESH)","2013-2016","25","7","5*","3.50","0","39","3/20","15.17","0","3","0","-11.67",""
"165","MV Boucher (SA)","2005-2010","25","268","36*","17.86","0","-","-","-","-","18","1","-",""
"166","Imad Wasim (PAK)","2015-2017","25","122","24*","12.20","0","27","5/14","20.25","1","10","0","-8.05",""
"167","Imran Nazir (PAK)","2007-2012","25","500","72","21.73","0","-","-","-","-","11","0","-",""
"168","JH Kallis (SA)","2005-2012","25","666","73","35.05","0","12","4/15","27.75","0","7","0","7.30",""
"169","C Kieswetter (ENG)","2010-2012","25","526","63","21.91","0","-","-","-","-","17","3","-",""
"170","B Lee (AUS)","2005-2012","25","101","43*","16.83","0","28","3/23","25.50","0","6","0","-8.66",""
"171","Mirwais Ashraf (AFG)","2010-2016","25","128","28*","11.63","0","14","2/6","31.71","0","5","0","-20.07",""
"172","JE Root (ENG)","2012-2017","25","743","90*","39.10","0","6","2/9","23.16","0","14","0","15.93",""
"173","T van der Gugten (NL)","2012-2017","25","45","12*","11.25","0","25","3/18","21.16","0","2","0","-9.90",""
"174","HA Varaiya (KENYA)","2007-2013","25","51","18*","51.00","0","18","2/10","25.61","0","12","0","25.38",""
"175","Younis Khan (PAK)","2006-2010","25","442","51","22.10","0","3","3/18","6.00","0","12","0","16.10",""
"176","Babar Hayat (HKG)","2014-2017","24","541","122","27.05","1","-","-","-","-","16","0","-",""
"177","SJ Benn (WI)","2008-2016","24","37","13*","12.33","0","18","4/6","33.66","0","10","0","-21.33",""
"178","JP Faulkner (AUS)","2012-2017","24","159","41*","14.45","0","36","5/27","19.00","1","11","0","-4.54",""
"179","Fawad Alam (PAK)","2007-2010","24","194","28","17.63","0","8","3/7","11.87","0","7","0","5.76",""
"180","PL Mommsen (SCOT)","2012-2016","24","419","68*","34.91","0","4","1/23","41.00","0","11","0","-6.08",""
"181","Nadeem Ahmed (HKG)","2014-2017","24","34","10","6.80","0","25","4/21","21.84","0","12","0","-15.03",""
"182","AA Obanda (KENYA)","2007-2013","24","325","79","16.25","0","-","-","-","-","3","0","-",""
"183","NN Odhiambo (KENYA)","2007-2013","24","174","41","9.66","0","16","5/20","29.25","1","6","0","-19.58",""
"184","HH Pandya (INDIA)","2016-2017","24","140","31","10.76","0","17","3/8","27.70","0","13","0","-16.93",""
"185","IK Pathan (INDIA)","2006-2012","24","172","33*","24.57","0","28","3/16","22.07","0","2","0","2.50",""
"186","AU Rashid (ENG)","2009-2017","24","29","9*","7.25","0","19","3/25","30.10","0","8","0","-22.85",""
"187","Rohan Mustafa (UAE)","2014-2017","24","411","77","18.68","0","19","3/9","22.94","0","7","0","-4.26",""
"188","Salman Butt (PAK)","2007-2010","24","595","74","28.33","0","-","-","-","-","3","0","-",""
