"","Player","Span","Mat","Inns","NO","Runs","HS","Ave","BF","SR","100","50","0","4s","6s",""
"170","Adnan Ilyas (OMAN)","2015-2016","12","11","0","258","54","23.45","218","118.34","0","1","0","16","8",""
"171","SE Marsh (AUS)","2008-2016","15","15","1","255","47*","18.21","248","102.82","0","0","2","15","10",""
"172","DT Johnston (IRE)","2008-2013","30","19","7","249","62","20.75","184","135.32","0","1","1","13","11",""
"173","RV Uthappa (INDIA)","2007-2015","13","12","2","249","50","24.90","211","118.00","0","1","1","26","6",""
"174","UT Khawaja (AUS)","2016-2016","9","9","0","241","58","26.77","182","132.41","0","1","0","31","5",""
"175","MS Wade (AUS)","2011-2016","26","17","5","239","72","19.91","218","109.63","0","1","0","11","9",""
"176","J Mubarak (SL)","2007-2009","16","15","4","238","46*","21.63","188","126.59","0","0","2","21","8",""
"177","Rizwan Cheema (CAN)","2008-2013","16","16","1","238","68","15.86","219","108.67","0","1","3","23","15",""
"178","Khalid Latif (PAK)","2008-2016","13","13","2","237","59*","21.54","229","103.49","0","1","1","25","6",""
"179","P Khadka (NEPAL)","2014-2015","11","11","1","236","54","23.60","231","102.16","0","1","1","19","1",""
"180","RE Levi (SA)","2012-2012","13","13","2","236","117*","21.45","167","141.31","1","1","3","20","15",""
"181","YK Pathan (INDIA)","2007-2012","22","18","5","236","37*","18.15","161","146.58","0","0","3","11","17",""
"182","DM Bravo (WI)","2010-2014","12","11","0","235","42","21.36","210","111.90","0","0","2","20","9",""
"183","ES Szwarczynski (NL)","2008-2013","14","12","1","233","45","21.18","243","95.88","0","0","0","22","2",""
"184","HG Munsey (SCOT)","2015-2017","17","15","2","232","62*","17.84","187","124.06","0","1","3","40","2",""
"185","JF Mooney (IRE)","2009-2015","27","23","9","231","31*","16.50","214","107.94","0","0","0","25","1",""
"186","AR Cusack (IRE)","2008-2015","37","21","6","229","65","15.26","177","129.37","0","1","1","17","6",""
"187","CR Ervine (ZIM)","2010-2015","16","15","0","229","42","15.26","287","79.79","0","0","1","21","2",""
"188","Aftab Ahmed (BDESH)","2006-2010","11","11","1","228","62*","22.80","178","128.08","0","1","0","26","6",""
"189","T Mishra (KENYA)","2007-2013","15","15","0","227","38","15.13","263","86.31","0","0","2","15","4",""
"190","MN van Wyk (SA)","2007-2015","8","7","1","225","114*","37.50","157","143.31","1","1","0","19","14",""
"191","Sohaib Maqsood (PAK)","2013-2016","20","18","2","221","37","13.81","201","109.95","0","0","2","15","8",""
"192","WU Tharanga (SL)","2006-2017","17","17","0","221","37","13.00","192","115.10","0","0","3","26","4",""
"193","H Patel (CAN)","2010-2013","11","11","1","220","88*","22.00","218","100.91","0","1","2","19","2",""
