"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","4","5",""
"154","FH Edwards (WI)","2007-2012","20","20","60.0","0","497","16","3/23","31.06","8.28","22.5","0","0",""
"155","A Mishra (INDIA)","2010-2017","10","10","38.0","1","240","16","3/24","15.00","6.31","14.2","0","0",""
"156","CB Mpofu (ZIM)","2008-2015","20","20","71.0","0","616","16","3/16","38.50","8.67","26.6","0","0",""
"157","NN Odhiambo (KENYA)","2007-2013","24","21","56.1","1","468","16","5/20","29.25","8.33","21.0","0","1",""
"158","JS Patel (NZ)","2005-2008","11","10","33.1","1","269","16","3/20","16.81","8.11","12.4","0","0",""
"159","Yasir Arafat (PAK)","2007-2012","13","13","39.2","0","316","16","3/18","19.75","8.03","14.7","0","0",""
"160","A Zampa (AUS)","2016-2017","12","12","40.0","0","237","16","3/16","14.81","5.92","15.0","0","0",""
"161","RG Aga (KENYA)","2008-2013","20","19","48.0","1","306","15","3/24","20.40","6.37","19.2","0","0",""
"162","Mohammad Irfan (PAK)","2012-2016","20","20","69.3","0","504","15","2/18","33.60","7.25","27.8","0","0",""
"163","SM Pollock (SA)","2005-2008","12","11","40.3","1","309","15","3/28","20.60","7.62","16.2","0","0",""
"164","B Regmi (NEPAL)","2014-2015","11","11","38.1","0","227","15","4/16","15.13","5.94","15.2","1","0",""
"165","MJG Rippon (NL)","2013-2017","17","17","50.4","2","310","15","3/8","20.66","6.11","20.2","0","0",""
"166","Rubel Hossain (BDESH)","2009-2017","16","15","53.2","0","509","15","3/31","33.93","9.54","21.3","0","0",""
"167","RP Singh (INDIA)","2007-2009","10","9","33.0","0","225","15","4/13","15.00","6.81","13.2","1","0",""
"168","MM Ali (ENG)","2014-2017","22","19","52.0","0","400","14","2/21","28.57","7.69","22.2","0","0",""
"169","CJ Anderson (NZ)","2012-2017","29","21","60.0","0","495","14","2/17","35.35","8.25","25.7","0","0",""
"170","RD Berrington (SCOT)","2008-2017","40","20","42.2","0","305","14","3/22","21.78","7.20","18.1","0","0",""
"171","JH Davey (SCOT)","2012-2017","14","13","49.4","0","422","14","4/34","30.14","8.49","21.2","1","0",""
"172","GD Elliott (NZ/World)","2009-2017","17","15","32.0","0","235","14","4/22","16.78","7.34","13.7","1","0",""
"173","AC Evans (SCOT)","2015-2016","11","9","35.0","2","225","14","5/24","16.07","6.42","15.0","0","1",""
"174","Karim Sadiq (AFG)","2010-2016","34","28","70.0","0","482","14","3/17","34.42","6.88","30.0","0","0",""
"175","Mirwais Ashraf (AFG)","2010-2016","25","22","65.2","1","444","14","2/6","31.71","6.79","28.0","0","0",""
"176","Shadab Khan (PAK)","2017-2017","10","10","35.5","1","233","14","4/14","16.64","6.50","15.3","1","0",""
"177","MR Swart (NL)","2012-2016","26","20","53.0","1","351","14","2/8","25.07","6.62","22.7","0","0",""
"178","N Vanua (PNG)","2015-2017","9","9","31.2","0","219","14","3/26","15.64","6.98","13.4","0","0",""
"179","CJ Chibhabha (ZIM)","2006-2016","30","19","47.5","0","396","13","3/18","30.46","8.27","22.0","0","0",""
"180","SR Clark (AUS)","2006-2007","9","9","36.0","0","237","13","4/20","18.23","6.58","16.6","1","0",""
"181","JK Kamande (KENYA)","2007-2010","12","10","34.2","1","212","13","3/28","16.30","6.17","15.8","0","0",""
"182","AR McBrine (IRE)","2014-2017","19","13","29.0","0","216","13","2/7","16.61","7.44","13.3","0","0",""
"183","Mohammad Asif (PAK)","2006-2010","11","11","42.5","1","343","13","4/18","26.38","8.00","19.7","1","0",""
"184","Mohammad Shahzad (UAE)","2015-2017","20","19","48.1","0","411","13","3/34","31.61","8.53","22.2","0","0",""
"185","M Muralitharan (SL)","2006-2010","12","12","47.0","0","297","13","3/29","22.84","6.31","21.6","0","0",""
"186","TJ Murtagh (IRE)","2012-2016","14","14","44.4","0","324","13","3/23","24.92","7.25","20.6","0","0",""
"187","YK Pathan (INDIA)","2007-2012","22","17","50.5","0","438","13","2/22","33.69","8.61","23.4","0","0",""
"188","RW Price (ZIM)","2008-2012","16","16","61.3","4","378","13","2/6","29.07","6.14","28.3","0","0",""
"189","PR Stirling (IRE)","2009-2017","44","22","59.0","1","413","13","3/21","31.76","7.00","27.2","0","0",""
"190","Ahmed Raza (UAE)","2014-2017","21","20","70.2","0","462","12","2/18","38.50","6.56","35.1","0","0",""
"191","Arafat Sunny (BDESH)","2014-2016","10","10","31.0","0","230","12","2/17","19.16","7.41","15.5","0","0",""
"192","JH Kallis (SA)","2005-2012","25","19","46.0","1","333","12","4/15","27.75","7.23","23.0","1","0",""
"193","Karim Janat (AFG)","2016-2017","11","11","37.0","0","313","12","3/24","26.08","8.45","18.5","0","0",""
"194","MA Leask (SCOT)","2013-2017","14","9","31.0","0","217","12","3/20","18.08","7.00","15.5","0","0",""
"195","AD Mascarenhas (ENG)","2007-2009","14","14","42.0","0","309","12","3/18","25.75","7.35","21.0","0","0",""
"196","J Mulder (IRE)","2016-2017","8","8","29.0","0","192","12","4/16","16.00","6.62","14.5","1","0",""
"197","JD Nel (SCOT)","2007-2010","10","9","31.0","3","169","12","3/10","14.08","5.45","15.5","0","0",""
"198","SK Raina (INDIA)","2006-2017","65","24","52.1","0","395","12","2/6","32.91","7.57","26.0","0","0",""
"199","Sompal Kami (NEPAL)","2014-2015","11","11","38.0","1","268","12","2/13","22.33","7.05","19.0","0","0",""
"200","RN ten Doeschate (NL)","2008-2010","9","9","34.0","0","241","12","3/23","20.08","7.08","17.0","0","0",""
"201","J Theron (SA)","2010-2012","9","9","32.2","0","261","12","4/27","21.75","8.07","16.1","1","0",""
"202","SO Tikolo (KENYA)","2007-2013","15","10","28.2","0","168","12","4/2","14.00","5.92","14.1","1","0",""
"203","Zulfiqar Babar (PAK)","2013-2014","7","7","26.0","1","185","12","3/23","15.41","7.11","13.0","0","0",""
"204","Abdur Rehman (PAK)","2007-2013","8","8","26.0","0","192","11","2/7","17.45","7.38","14.1","0","0",""
"205","TL Chatara (ZIM)","2010-2016","11","11","40.0","1","308","11","2/21","28.00","7.70","21.8","0","0",""
"206","DT Christian (AUS)","2010-2017","16","16","35.3","0","317","11","3/27","28.81","8.92","19.3","0","0",""
"207","Fareed Ahmad (AFG)","2016-2017","7","7","26.0","0","193","11","3/35","17.54","7.42","14.1","0","0",""
"208","Irfan Ahmed (HKG)","2014-2015","8","8","27.0","0","190","11","3/11","17.27","7.03","14.7","0","0",""
"209","NO Miller (WI)","2009-2014","9","9","31.4","0","224","11","2/20","20.36","7.07","17.2","0","0",""
"210","JDS Neesham (NZ)","2012-2017","15","13","32.4","0","259","11","3/16","23.54","7.92","17.8","0","0",""
"211","CO Obuya (KENYA)","2007-2013","26","10","30.3","0","202","11","3/17","18.36","6.62","16.6","0","0",""
"212","TM Odoyo (KENYA)","2007-2013","11","10","36.0","0","170","11","3/17","15.45","4.72","19.6","0","0",""
"213","I Udana (SL)","2009-2017","13","13","45.3","1","381","11","3/13","34.63","8.37","24.8","0","0",""
"214","MH Yardy (ENG)","2006-2011","14","13","46.0","0","299","11","2/19","27.18","6.50","25.0","0","0",""
"215","Anwar Ali (PAK)","2008-2016","16","15","44.1","0","367","10","2/27","36.70","8.30","26.5","0","0",""
"216","L Balaji (INDIA)","2012-2012","5","5","16.0","0","121","10","3/19","12.10","7.56","9.6","0","0",""
"217","PVD Chameera (SL)","2015-2016","13","13","45.1","0","359","10","3/30","35.90","7.94","27.1","0","0",""
"218","TS Chisoro (ZIM)","2015-2016","7","7","28.0","1","173","10","3/17","17.30","6.17","16.8","0","0",""
"219","PC Connell (IRE)","2008-2010","9","8","25.3","1","156","10","3/8","15.60","6.11","15.3","0","0",""
"220","XJ Doherty (AUS)","2012-2013","11","11","38.0","0","300","10","3/20","30.00","7.89","22.8","0","0",""
"221","MR Gillespie (NZ)","2006-2008","11","10","35.0","3","255","10","4/7","25.50","7.28","21.0","1","0",""
"222","RM Hira (NZ)","2012-2013","15","13","42.2","1","337","10","2/42","33.70","7.96","25.4","0","0",""
"223","JR Hopes (AUS)","2005-2010","12","12","37.0","0","283","10","2/26","28.30","7.64","22.2","0","0",""
"224","KM Jarvis (ZIM)","2011-2013","9","9","32.1","0","270","10","3/15","27.00","8.39","19.3","0","0",""
"225","JF Mooney (IRE)","2009-2015","27","10","26.0","1","176","10","2/7","17.60","6.76","15.6","0","0",""
"226","PP Ojha (INDIA)","2009-2010","6","6","21.0","0","132","10","4/21","13.20","6.28","12.6","1","0",""
