"","Player","Span","Mat","Inns","Overs","Mdns","Runs","Wkts","BBI","Ave","Econ","SR","4","5",""
"1009","J Smits (NL)","2008-2009","6","-","-","-","-","-","-","-","-","-","-","-",""
"1010","VS Solanki (ENG)","2005-2007","3","-","-","-","-","-","-","-","-","-","-","-",""
"1011","L Sreekumar (UAE)","2017-2017","1","-","-","-","-","-","-","-","-","-","-","-",""
"1012","AJ Strauss (ENG)","2005-2009","4","-","-","-","-","-","-","-","-","-","-","-",""
"1013","R Strydom (IRE)","2008-2008","4","-","-","-","-","-","-","-","-","-","-","-",""
"1014","Sultan Ahmed (OMAN)","2015-2017","17","-","-","-","-","-","-","-","-","-","-","-",""
"1015","ZE Surkari (CAN)","2008-2008","4","-","-","-","-","-","-","-","-","-","-","-",""
"1016","ES Szwarczynski (NL)","2008-2013","14","-","-","-","-","-","-","-","-","-","-","-",""
"1017","Tamim Iqbal (BDESH/World)","2007-2017","59","-","-","-","-","-","-","-","-","-","-","-",""
"1018","LRPL Taylor (NZ)","2006-2016","73","-","-","-","-","-","-","-","-","-","-","-",""
"1019","SP Terry (IRE)","2016-2016","1","-","-","-","-","-","-","-","-","-","-","-",""
"1020","WU Tharanga (SL)","2006-2017","17","-","-","-","-","-","-","-","-","-","-","-",""
"1021","HDRL Thirimanne (SL)","2012-2016","26","-","-","-","-","-","-","-","-","-","-","-",""
"1022","DC Thomas (WI)","2009-2013","3","-","-","-","-","-","-","-","-","-","-","-",""
"1023","GJ Thompson (IRE)","2016-2017","8","-","-","-","-","-","-","-","-","-","-","-",""
"1024","MK Tiwary (INDIA)","2011-2012","3","-","-","-","-","-","-","-","-","-","-","-",""
"1025","ME Trescothick (ENG)","2005-2006","3","-","-","-","-","-","-","-","-","-","-","-",""
"1026","IJL Trott (ENG)","2007-2010","7","-","-","-","-","-","-","-","-","-","-","-",""
"1027","L Tucker (IRE)","2016-2017","4","-","-","-","-","-","-","-","-","-","-","-",""
"1028","ML Udawatte (SL)","2008-2017","8","-","-","-","-","-","-","-","-","-","-","-",""
"1029","Umar Akmal (PAK)","2009-2016","82","-","-","-","-","-","-","-","-","-","-","-",""
"1030","Umar Amin (PAK)","2013-2017","11","-","-","-","-","-","-","-","-","-","-","-",""
"1031","TP Ura (PNG)","2015-2017","6","-","-","-","-","-","-","-","-","-","-","-",""
"1032","Usman Ghani (AFG)","2015-2017","13","-","-","-","-","-","-","-","-","-","-","-",""
"1033","Usman Limbada (CAN)","2010-2013","7","-","-","-","-","-","-","-","-","-","-","-",""
"1034","Usman Mushtaq (UAE)","2016-2016","3","-","-","-","-","-","-","-","-","-","-","-",""
"1035","RV Uthappa (INDIA)","2007-2015","13","-","-","-","-","-","-","-","-","-","-","-",""
"1036","VB van Jaarsveld (SA)","2009-2009","3","-","-","-","-","-","-","-","-","-","-","-",""
"1037","MN van Wyk (SA)","2007-2015","8","-","-","-","-","-","-","-","-","-","-","-",""
"1038","JNT Vare (PNG)","2015-2017","8","-","-","-","-","-","-","-","-","-","-","-",""
"1039","MP Vaughan (ENG)","2005-2007","2","-","-","-","-","-","-","-","-","-","-","-",""
"1040","S Vesawkar (NEPAL)","2014-2015","10","-","-","-","-","-","-","-","-","-","-","-",""
"1041","DJ Vilas (SA)","2012-2012","1","-","-","-","-","-","-","-","-","-","-","-",""
"1042","JM Vince (ENG)","2015-2016","5","-","-","-","-","-","-","-","-","-","-","-",""
"1043","L Vincent (NZ)","2006-2007","9","-","-","-","-","-","-","-","-","-","-","-",""
"1044","TP Visee (NL)","2015-2017","4","-","-","-","-","-","-","-","-","-","-","-",""
"1045","KDK Vithanage (SL)","2014-2016","3","-","-","-","-","-","-","-","-","-","-","-",""
"1046","MS Wade (AUS)","2011-2016","26","-","-","-","-","-","-","-","-","-","-","-",""
"1047","CD Wallace (SCOT)","2012-2017","12","-","-","-","-","-","-","-","-","-","-","-",""
"1048","CAK Walton (WI)","2014-2017","12","-","-","-","-","-","-","-","-","-","-","-",""
"1049","DA Warner (AUS)","2009-2017","65","-","-","-","-","-","-","-","-","-","-","-",""
"1050","VS Wategaonkar (OMAN)","2016-2016","2","-","-","-","-","-","-","-","-","-","-","-",""
"1051","BJ Watling (NZ)","2009-2014","5","-","-","-","-","-","-","-","-","-","-","-",""
"1052","DF Watts (SCOT)","2007-2012","11","-","-","-","-","-","-","-","-","-","-","-",""
"1053","GC Wilson (IRE)","2008-2017","53","-","-","-","-","-","-","-","-","-","-","-",""
"1054","Zeeshan Siddiqui (OMAN)","2015-2015","5","-","-","-","-","-","-","-","-","-","-","-",""
"1055","B Zuiderent (NL)","2009-2010","6","-","-","-","-","-","-","-","-","-","-","-",""
"1056","Zulqarnain Haider (PAK)","2007-2010","3","-","-","-","-","-","-","-","-","-","-","-",""
